id_registro,id_deputado,nome_deputado,ano,mes,tipo_despesa,valor,estado
1072835,107283,Gleisi Hoffmann,2026,5,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,158.11,PR
1072835,107283,Gleisi Hoffmann,2026,5,TELEFONIA,65.36,PR
1072835,107283,Gleisi Hoffmann,2026,5,TELEFONIA,67.21,PR
1072835,107283,Gleisi Hoffmann,2026,5,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",420.0,PR
1072835,107283,Gleisi Hoffmann,2026,5,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",1710.14,PR
1072835,107283,Gleisi Hoffmann,2026,5,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",540.89,PR
1072835,107283,Gleisi Hoffmann,2026,5,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",548.65,PR
1072835,107283,Gleisi Hoffmann,2026,5,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",1093.05,PR
1072835,107283,Gleisi Hoffmann,2026,5,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",429.5,PR
1072835,107283,Gleisi Hoffmann,2026,5,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",17.94,PR
1072835,107283,Gleisi Hoffmann,2026,5,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",26.81,PR
1072835,107283,Gleisi Hoffmann,2026,5,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21.99,PR
1072835,107283,Gleisi Hoffmann,2026,5,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",13.98,PR
1072835,107283,Gleisi Hoffmann,2026,5,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",15.64,PR
1072835,107283,Gleisi Hoffmann,2026,5,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",47.95,PR
1072835,107283,Gleisi Hoffmann,2026,5,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",51.99,PR
1072835,107283,Gleisi Hoffmann,2026,5,PASSAGEM AÉREA - SIGEPA,1582.56,PR
1072835,107283,Gleisi Hoffmann,2026,5,PASSAGEM AÉREA - SIGEPA,107.0,PR
1072835,107283,Gleisi Hoffmann,2026,5,PASSAGEM AÉREA - SIGEPA,2589.18,PR
1072835,107283,Gleisi Hoffmann,2026,5,PASSAGEM AÉREA - SIGEPA,1168.76,PR
1072836,107283,Gleisi Hoffmann,2026,6,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,997.0,PR
1072836,107283,Gleisi Hoffmann,2026,6,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,12942.4,PR
