id_registro,id_deputado,nome_deputado,estado,ano,mes,tipo_despesa,valor_gasto,data_despesa
1789296,178929,Diego Garcia,PR,2026,6,PASSAGEM AÉREA - REEMBOLSO,1480.33,2026-06-01
1789296,178929,Diego Garcia,PR,2026,6,PASSAGEM AÉREA - REEMBOLSO,4286.54,2026-06-01
1789313,178931,Luciano Ducci,PR,2026,3,PASSAGEM AÉREA - RPA,2109.77,2026-03-01
1789313,178931,Luciano Ducci,PR,2026,3,PASSAGEM AÉREA - RPA,2966.29,2026-03-01
1789316,178931,Luciano Ducci,PR,2026,6,PASSAGEM AÉREA - RPA,1978.53,2026-06-01
1789316,178931,Luciano Ducci,PR,2026,6,PASSAGEM AÉREA - RPA,1875.77,2026-06-01
1789332,178933,Sergio Souza,PR,2026,2,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",195.45,2026-02-01
2043613,204361,Carlos Chiodini,SC,2026,3,SERVIÇOS POSTAIS,102.95,2026-03-01
2043616,204361,Carlos Chiodini,SC,2026,6,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",120.0,2026-06-01
2043656,204365,Gilson Marques,SC,2026,6,ASSINATURA DE PUBLICAÇÕES,538.8,2026-06-01
2043656,204365,Gilson Marques,SC,2026,6,ASSINATURA DE PUBLICAÇÕES,358.0,2026-06-01
2043656,204365,Gilson Marques,SC,2026,6,ASSINATURA DE PUBLICAÇÕES,238.8,2026-06-01
2043873,204387,Sargento Fahur,PR,2026,3,PASSAGEM AÉREA - REEMBOLSO,3297.92,2026-03-01
2043873,204387,Sargento Fahur,PR,2026,3,PASSAGEM AÉREA - REEMBOLSO,3297.92,2026-03-01
2044103,204410,Luisa Canziani,PR,2026,3,PASSAGEM AÉREA - REEMBOLSO,1811.62,2026-03-01
2044105,204410,Luisa Canziani,PR,2026,5,SERVIÇOS POSTAIS,78.4,2026-05-01
2044111,204411,Filipe Barros,PR,2026,1,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",339.83,2026-01-01
2044111,204411,Filipe Barros,PR,2026,1,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",340.01,2026-01-01
2044111,204411,Filipe Barros,PR,2026,1,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,264.0,2026-01-01
2044112,204411,Filipe Barros,PR,2026,2,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,264.0,2026-02-01
2044113,204411,Filipe Barros,PR,2026,3,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,264.0,2026-03-01
2044114,204411,Filipe Barros,PR,2026,4,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",349.69,2026-04-01
2044114,204411,Filipe Barros,PR,2026,4,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",349.69,2026-04-01
2044114,204411,Filipe Barros,PR,2026,4,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,264.0,2026-04-01
2044114,204411,Filipe Barros,PR,2026,4,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",349.69,2026-04-01
2044114,204411,Filipe Barros,PR,2026,4,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",349.69,2026-04-01
2044115,204411,Filipe Barros,PR,2026,5,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,264.0,2026-05-01
2044116,204411,Filipe Barros,PR,2026,6,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,264.0,2026-06-01
