estado,tipo_despesa,data_despesa,valor_previsto,limite_minimo,limite_maximo
PR,PASSAGEM AÉREA - REEMBOLSO,2026-10-01,61498.058,55348.252199999995,67647.8638
PR,PASSAGEM AÉREA - REEMBOLSO,2026-11-01,65771.324,59194.1916,72348.4564
PR,PASSAGEM AÉREA - RPA,2026-06-01,0.0,0.0,0.0
PR,PASSAGEM AÉREA - RPA,2026-07-01,0.0,0.0,0.0
PR,PASSAGEM AÉREA - RPA,2026-08-01,0.0,0.0,0.0
PR,PASSAGEM AÉREA - RPA,2026-09-01,0.0,0.0,0.0
PR,PASSAGEM AÉREA - RPA,2026-10-01,0.0,0.0,0.0
PR,PASSAGEM AÉREA - RPA,2026-11-01,0.0,0.0,0.0
PR,PASSAGEM AÉREA - SIGEPA,2026-06-01,299085.0829999999,269176.57469999994,328993.5913
PR,PASSAGEM AÉREA - SIGEPA,2026-07-01,309758.54999999993,278782.69499999995,340734.40499999997
PR,PASSAGEM AÉREA - SIGEPA,2026-08-01,320432.0169999999,288388.8152999999,352475.2186999999
PR,PASSAGEM AÉREA - SIGEPA,2026-09-01,331105.4839999999,297994.9355999999,364216.0323999999
PR,PASSAGEM AÉREA - SIGEPA,2026-10-01,341778.9509999998,307601.05589999986,375956.84609999985
PR,PASSAGEM AÉREA - SIGEPA,2026-11-01,352452.41799999983,317207.17619999987,387697.65979999985
PR,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",2026-07-01,1567.394,1410.6546,1724.1334000000002
PR,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",2026-08-01,1617.8922857142857,1456.103057142857,1779.6815142857145
PR,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",2026-09-01,1668.3905714285715,1501.5515142857143,1835.2296285714287
PR,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",2026-10-01,1718.8888571428572,1546.9999714285716,1890.777742857143
PR,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",2026-11-01,1769.3871428571429,1592.4484285714286,1946.3258571428573
PR,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",2026-12-01,1819.8854285714287,1637.8968857142859,2001.8739714285718
PR,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,2026-06-01,8661.988000000001,8264.0,9528.186800000001
PR,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,2026-07-01,8639.310000000001,8264.0,9503.241000000002
PR,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,2026-08-01,8616.632000000001,8264.0,9478.295200000002
PR,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,2026-09-01,8593.954000000002,8264.0,9453.349400000003
PR,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,2026-10-01,8571.276000000002,8264.0,9428.403600000003
PR,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,2026-11-01,8548.598000000002,8264.0,9403.457800000002
PR,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",2026-07-01,9155.776000000002,8240.198400000001,10071.353600000002
PR,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",2026-08-01,9673.356285714286,8706.020657142857,10640.691914285715
PR,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",2026-09-01,10190.936571428574,9171.842914285717,11210.030228571432
PR,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",2026-10-01,10708.516857142858,9637.665171428573,11779.368542857146
PR,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",2026-11-01,11226.097142857147,10103.487428571432,12348.706857142863
PR,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",2026-12-01,11743.677428571431,10569.309685714288,12918.045171428575
PR,SERVIÇOS POSTAIS,2026-07-01,1119.5733333333335,1007.6160000000002,1231.530666666667
PR,SERVIÇOS POSTAIS,2026-08-01,1148.984761904762,1034.0862857142859,1263.8832380952383
PR,SERVIÇOS POSTAIS,2026-09-01,1178.3961904761907,1060.5565714285717,1296.2358095238098
PR,SERVIÇOS POSTAIS,2026-10-01,1207.8076190476195,1087.0268571428576,1328.5883809523816
PR,SERVIÇOS POSTAIS,2026-11-01,1237.219047619048,1113.4971428571432,1360.940952380953
PR,SERVIÇOS POSTAIS,2026-12-01,1266.6304761904767,1139.967428571429,1393.2935238095245
PR,TELEFONIA,2026-06-01,9418.077,8476.2693,10359.8847
PR,TELEFONIA,2026-07-01,9751.266,8776.1394,10726.392600000001
